Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginRegistrationSuite1,Firefox 59.0,,2018-06-24 22:28:35,2018-06-24 22:29:35,59.708s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 22:28:36,2018-06-24 22:29:06,30.419s,PASSED
Start setup action : setupCase,Firefox 59.0,,2018-06-24 22:28:36,2018-06-24 22:29:02,25.947s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:02,2018-06-24 22:29:03,1.221s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:03,2018-06-24 22:29:04,0.325s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:04,2018-06-24 22:29:04,0.271s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:04,2018-06-24 22:29:04,0.368s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:04,2018-06-24 22:29:05,0.566s,PASSED
Start tear down : tearDownifPassed,Firefox 59.0,,2018-06-24 22:29:05,2018-06-24 22:29:05,0.024s,PASSED
Start tear down : tearDownCase,Firefox 59.0,,2018-06-24 22:29:05,2018-06-24 22:29:06,1.573s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 22:29:06,2018-06-24 22:29:34,27.680s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 22:29:07,2018-06-24 22:29:16,9.001s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 22:29:16,2018-06-24 22:29:22,6.624s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:22,2018-06-24 22:29:23,0.681s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:23,2018-06-24 22:29:24,0.884s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:24,2018-06-24 22:29:24,0.399s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:24,2018-06-24 22:29:25,0.725s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:25,2018-06-24 22:29:25,0.406s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:25,2018-06-24 22:29:26,0.968s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:26,2018-06-24 22:29:27,0.379s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:27,2018-06-24 22:29:27,0.350s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:27,2018-06-24 22:29:28,0.366s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:28,2018-06-24 22:29:28,0.467s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:28,2018-06-24 22:29:28,0.159s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:28,2018-06-24 22:29:28,0.132s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:28,2018-06-24 22:29:28,0.179s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:28,2018-06-24 22:29:29,0.194s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:29,2018-06-24 22:29:30,0.841s,PASSED
setText,Firefox 59.0,,2018-06-24 22:29:30,2018-06-24 22:29:31,1.141s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:31,2018-06-24 22:29:31,0.772s,PASSED
click,Firefox 59.0,,2018-06-24 22:29:31,2018-06-24 22:29:33,1.980s,FAILED
Start tear down : tearDownifFailed,Firefox 59.0,,2018-06-24 22:29:33,2018-06-24 22:29:34,0.601s,PASSED
